Word,Len,2:5,6:10,11:15,16:,SHA-512,
mover,5,1,0,0,0,ae3dc7cc6fd4fb92498345abf016a4da764e8b324c31d071cc25a41f7511cef3eab5ccc62509c3684c2c5d91416515490b594037982a2b8f3d36f297f1151158,
accentuate,10,0,1,0,0,63c7bb5ca8491452ce37c0625c4a0b5b8179a6eac9c6576ba3278fed5e4f281b8ab47fb267f1f6f24116b19f031b238abd16c2dee573963111edc9a39936e7f2,
pencil,6,0,1,0,0,19df01aab828f8d50836ba75709713aed227335df8e186439185c06c917a2a7d3771ab76e307cfa3b6b89ef1a6682d6681ddf11884870e5de13e793fb955eeeb,
apocryphal,10,0,1,0,0,d5cc7d42fc3e221dd108223ea56d8b5e6a9a4be40657cef8424252e103dabe594b0fd98a258d8b42000a13c279c0e5b92e5bc221285b9c7a4f30a85ffffd554a,
Swiss,5,1,0,0,0,6f550fe5783f2ef78f4b287a3135180bc0d0eb45537301cd038930daf75d8046fa5c9606a90112b510d2d4ca2731605f84e44171737686b3a7ef16083f1e62c8,
teak,4,1,0,0,0,0cea8d9ae6f8fdf31f7a0ad192f971cf353342b90d6b11fec6b79060837ece2e09f58e8d3fff0f484f5532488c8ade80b91c06f1ad26eab897c6a4a7c3a68321,
fish,4,1,0,0,0,9b99dbf02081b2cd2f31640d32d6a66efa7c684a14b056fb0cec79ad0ae93ad15dc4b37bd343debc791840c5247e3a6c0b17d05234b2a69a49197b535361c24c,
obelisk,7,0,1,0,0,86b2505f1d6e932e284ac52ab8c173fb56e2d9f1ba42031a2c3b4da10f6e520515a5c11892e0cf7809fb35e7081f4a96b0e20b7df0d7d1103247b571cbeaf53c,
bridesmaid,10,0,1,0,0,107e452d40408f5b3e0214f00c7d2d9621cf9687136cd216026fd01c1adfe471f923509779b67929366df785b1b762bbafe72a93d010409439ad191551906c94,
blue law,8,0,1,0,0,7d25a38529b3ddd4162201c3f7ae9e2cb039495f685e249fcbc1b51c41ccc9f83b5305facf3a54cc8d694343d084d0137713b7164481691915d6a55d79f7d9e7,
uranium,7,0,1,0,0,8e13441243edc332732c5ee19a2c1d1e613fcbd58de7aa2207538511ab01f5fa0edb22d73a7652bc01efa86dc726eda4e709ef3fd8169ecc31316e50a9139b82,
shimmy,6,0,1,0,0,5461c74e35e70c490780927e1374581364155f52b92013813bd81c42b86482b152c76fa657baebdd30d2d31ad23a97ef1d97471773579f043016ec0afdb73afb,
rove,4,1,0,0,0,4f9168c124b6a03e91c4d0cb884c4d0924024d28636dcd40fe17de807c5fb96cf4932830b87530fae88ec2ec3358126524eb0901adea383c08a2f2ddf265fb11,
fourth,6,0,1,0,0,9427115bec9f00a82a62a3ac7ee312f729397c31af7aa39810ae0530e8a845f38490e6decdbacdceabf6488cd0d8cb2ae1068a826944b4a01b5d9127ac10586c,
rhetorician,11,0,0,1,0,052112f530f791108b6b10ef383fd82e753d2ba8f6e5b6f880af1830803d9d70163973f6d273bbf3d3fa7236a92a0cf2e9475216287e7ce63038f6e8f163eedb,
dogfight,8,0,1,0,0,5da605f4adac271080b6a89ff325957d239958958612ef01dc834575ea73d8557e9b2677bb9e033e21470b4c461ba5baa2d3287ffec85c7a4f66c3d9c63b945b,
golf course,11,0,0,1,0,7b1553a8fb6e41e12beb4fbee1ca4116d0801cb58aefe5205dc5827c150692dd9a81e11580d60093bc4b530f15579b596236c86d67ab87fb4b3408c7e368019c,
dental floss,12,0,0,1,0,3e16524eadaa3ab3d16a56ebcea52c4dc104e11639b6082e90b58c63ed436f58dc819ab2ef762b4fd7a9723c676de43447f737fc3fd389a25977ffaa3340bb07,
lupine,6,0,1,0,0,0a2e3407ca6533617ea7237295492fe7225c5792579f1413bb46488fd6ed99fb5ea805fd625cd8e2a55ef393e42ef0195103146af035962283ce1b7bae8d01c3,
