Word,Len,SHA-512
fish,4,9b99dbf02081b2cd2f31640d32d6a66efa7c684a14b056fb0cec79ad0ae93ad15dc4b37bd343debc791840c5247e3a6c0b17d05234b2a69a49197b535361c24c
lupine,6,0a2e3407ca6533617ea7237295492fe7225c5792579f1413bb46488fd6ed99fb5ea805fd625cd8e2a55ef393e42ef0195103146af035962283ce1b7bae8d01c3
,,
romaine,7,5502a2aa817b0f9f80816b57e759bffaba46790e7f9379e7c84fb8236f46f25ef06ebca9ce529f44e47f24f9665c9d1929b7712edb2f1e4d45221fc9df4c22b0
canard,6,8012eb7101f63a2052000edc5b98ee5cc22ec0aab5709e500e34d04a95ac1f65c9389191e1fae376d2e0c2b2a948746267ccd050a0a95e16c09cdfe1f838e59e
mile,4,e0f0966208fa5896e96005aaa4fad30725e495d4b6b0159956daa8c6e99f501056c857595e0d5f27ca0b023d203a406270f44a51e5781fb3d9d42aed31421630
mariachi,8,0a1de85e486d55fefd22304e650890d3e3da52f4127d1cab306e0dad4bdd0256021d3f2380dc0749157a18eafe87ac8faf5a20da7378b2f82919e6a1e4b4ce58
,,
impulse,7,6d6999c5ec3995b935b931d9b61afee2ac5eb215185cd8b58570aef2021cf3a04e8ff3785327821b3991da0b97f522d9cfc0dd098f4dd0e4b75f15b85481cdfa
Norwegian,9,916c479c9b82f65d3bcc1b7189259933f35a7c444807749a8c6e7552428e6014b388fca549656553b1a68508ae3629de2201d65daeaf1b6acd59874eae1f1012
dahlia,6,a8157b0de9078eae1397dfc7cd416c7fbabe0212d40dc2d6a1430c21378db5a313b7a3e686300f306c03a82663fcca4e24a6dff95e62d8e9bd3ca0af8915fa2c
albumen,7,51985b18dd34902a9b106bcda9435023b26ee8a188b540d6de96a1265bb7dff0782e309f6babd1141f25e9f37c1fba9d9cc32dc80d05023f90e5885b3451148a
distemper,9,8cbab08ba93fbdba4b0223aec874a30f2882c7d705988dd6a2db6f026732d45360307e446fcc980c706741af5476fe12f0d6123368c5ecd55b23ee3a40a599c2
